values,participants,groups
1.0,p_0,T1_E
1.0,p_0,T1_H
1.0,p_0,T1_S
0.8888888888888888,p_0,T3_E
0.6666666666666666,p_0,T3_H
1.0,p_0,T3_S
1.0,p_1,T2_E
1.0,p_1,T2_H
1.0,p_1,T2_S
0.7777777777777778,p_1,T5_E
0.7777777777777778,p_1,T5_H
0.7777777777777778,p_1,T5_S
0.5555555555555556,p_2,T4_E
0.4444444444444444,p_2,T4_H
0.4444444444444444,p_2,T4_S
0.5555555555555556,p_2,T6_E
0.7777777777777778,p_2,T6_H
0.4444444444444444,p_2,T6_S
1.0,p_3,T2_E
1.0,p_3,T2_H
1.0,p_3,T2_S
0.8888888888888888,p_3,T5_E
1.0,p_3,T5_H
1.0,p_3,T5_S
1.0,p_4,T2_E
1.0,p_4,T2_H
1.0,p_4,T2_S
1.0,p_4,T5_E
1.0,p_4,T5_H
0.8888888888888888,p_4,T5_S
0.6666666666666666,p_5,T1_E
1.0,p_5,T1_H
1.0,p_5,T1_S
1.0,p_5,T3_E
1.0,p_5,T3_H
0.8888888888888888,p_5,T3_S
1.0,p_6,T2_E
1.0,p_6,T2_H
1.0,p_6,T2_S
1.0,p_6,T5_E
1.0,p_6,T5_H
0.7777777777777778,p_6,T5_S
1.0,p_7,T1_E
1.0,p_7,T1_H
0.8888888888888888,p_7,T1_S
1.0,p_7,T3_E
1.0,p_7,T3_H
1.0,p_7,T3_S
0.4444444444444444,p_8,T1_E
0.5555555555555556,p_8,T1_H
0.5555555555555556,p_8,T1_S
0.7777777777777778,p_8,T3_E
0.5555555555555556,p_8,T3_H
1.0,p_8,T3_S
1.0,p_9,T1_E
1.0,p_9,T1_H
0.8888888888888888,p_9,T1_S
1.0,p_9,T3_E
1.0,p_9,T3_H
0.7777777777777778,p_9,T3_S
0.6666666666666666,p_10,T4_E
0.5555555555555556,p_10,T4_H
0.5555555555555556,p_10,T4_S
1.0,p_10,T6_E
0.8888888888888888,p_10,T6_H
1.0,p_10,T6_S
1.0,p_11,T2_E
0.8888888888888888,p_11,T2_H
1.0,p_11,T2_S
0.6666666666666666,p_11,T5_E
0.5555555555555556,p_11,T5_H
0.6666666666666666,p_11,T5_S
1.0,p_12,T2_E
0.8888888888888888,p_12,T2_H
1.0,p_12,T2_S
1.0,p_12,T5_E
1.0,p_12,T5_H
0.8888888888888888,p_12,T5_S
0.8888888888888888,p_13,T1_E
0.8888888888888888,p_13,T1_H
0.7777777777777778,p_13,T1_S
1.0,p_13,T3_E
0.8888888888888888,p_13,T3_H
0.7777777777777778,p_13,T3_S
0.6666666666666666,p_14,T4_E
0.5555555555555556,p_14,T4_H
0.5555555555555556,p_14,T4_S
1.0,p_14,T6_E
0.7777777777777778,p_14,T6_H
1.0,p_14,T6_S
1.0,p_15,T1_E
1.0,p_15,T1_H
0.8888888888888888,p_15,T1_S
0.6666666666666666,p_15,T3_E
0.8888888888888888,p_15,T3_H
1.0,p_15,T3_S
1.0,p_16,T1_E
1.0,p_16,T1_H
1.0,p_16,T1_S
1.0,p_16,T3_E
1.0,p_16,T3_H
1.0,p_16,T3_S
0.6666666666666666,p_17,T1_E
1.0,p_17,T1_H
0.7777777777777778,p_17,T1_S
0.6666666666666666,p_17,T3_E
0.6666666666666666,p_17,T3_H
0.7777777777777778,p_17,T3_S
1.0,p_18,T2_E
1.0,p_18,T2_H
1.0,p_18,T2_S
0.8888888888888888,p_18,T5_E
0.6666666666666666,p_18,T5_H
0.8888888888888888,p_18,T5_S
0.6666666666666666,p_19,T4_E
0.7777777777777778,p_19,T4_H
0.4444444444444444,p_19,T4_S
1.0,p_19,T6_E
0.8888888888888888,p_19,T6_H
0.8888888888888888,p_19,T6_S
0.4444444444444444,p_20,T4_E
0.4444444444444444,p_20,T4_H
0.5555555555555556,p_20,T4_S
1.0,p_20,T6_E
0.6666666666666666,p_20,T6_H
0.8888888888888888,p_20,T6_S
0.8888888888888888,p_21,T2_E
1.0,p_21,T2_H
1.0,p_21,T2_S
0.1111111111111111,p_21,T5_E
0.3333333333333333,p_21,T5_H
0.1111111111111111,p_21,T5_S
1.0,p_22,T1_E
0.8888888888888888,p_22,T1_H
1.0,p_22,T1_S
1.0,p_22,T3_E
1.0,p_22,T3_H
0.7777777777777778,p_22,T3_S
0.8888888888888888,p_23,T1_E
0.6666666666666666,p_23,T1_H
0.8888888888888888,p_23,T1_S
1.0,p_23,T3_E
0.8888888888888888,p_23,T3_H
0.8888888888888888,p_23,T3_S
0.8888888888888888,p_24,T1_E
0.8888888888888888,p_24,T1_H
0.6666666666666666,p_24,T1_S
0.4444444444444444,p_24,T3_E
0.3333333333333333,p_24,T3_H
0.4444444444444444,p_24,T3_S
1.0,p_25,T2_E
1.0,p_25,T2_H
1.0,p_25,T2_S
0.8888888888888888,p_25,T5_E
1.0,p_25,T5_H
0.8888888888888888,p_25,T5_S
0.8888888888888888,p_26,T1_E
1.0,p_26,T1_H
0.8888888888888888,p_26,T1_S
0.8888888888888888,p_26,T3_E
0.7777777777777778,p_26,T3_H
0.8888888888888888,p_26,T3_S
1.0,p_27,T2_E
1.0,p_27,T2_H
0.8888888888888888,p_27,T2_S
0.7777777777777778,p_27,T5_E
0.7777777777777778,p_27,T5_H
0.7777777777777778,p_27,T5_S
1.0,p_28,T2_E
1.0,p_28,T2_H
1.0,p_28,T2_S
1.0,p_28,T5_E
0.8888888888888888,p_28,T5_H
0.7777777777777778,p_28,T5_S
0.6666666666666666,p_29,T1_E
0.2222222222222222,p_29,T1_H
0.8888888888888888,p_29,T1_S
1.0,p_29,T3_E
0.5555555555555556,p_29,T3_H
0.7777777777777778,p_29,T3_S
0.7777777777777778,p_30,T4_E
0.2222222222222222,p_30,T4_H
0.3333333333333333,p_30,T4_S
0.1111111111111111,p_30,T6_E
0.2222222222222222,p_30,T6_H
0.1111111111111111,p_30,T6_S
