vals,group
0.9444444444444444,L
0.9444444444444444,L
1.0,L
0.8333333333333334,L
0.6111111111111112,L
1.0,L
0.8333333333333334,L
0.8333333333333334,L
0.6666666666666666,L
0.9444444444444444,L
0.8333333333333334,L
0.5,L
1.0,L
0.9444444444444444,L
0.4444444444444444,L
0.8888888888888888,H
0.8333333333333334,H
1.0,H
0.9444444444444444,H
1.0,H
