values,participants,groups
1.0,p_325,E
0.92,p_325,H
1.0,p_325,S
0.64,p_336,E
1.0,p_336,H
1.0,p_336,S
1.0,p_338,E
1.0,p_338,H
0.96,p_338,S
0.52,p_339,E
0.44,p_339,H
0.72,p_339,S
1.0,p_341,E
1.0,p_341,H
0.8,p_341,S
0.96,p_348,E
0.96,p_348,H
0.8,p_348,S
0.96,p_350,E
1.0,p_350,H
0.84,p_350,S
1.0,p_351,E
1.0,p_351,H
1.0,p_351,S
0.68,p_358,E
0.96,p_358,H
0.76,p_358,S
1.0,p_371,E
0.96,p_371,H
0.96,p_371,S
0.96,p_372,E
0.64,p_372,H
0.84,p_372,S
0.72,p_376,E
0.68,p_376,H
0.68,p_376,S
0.92,p_382,E
1.0,p_382,H
0.96,p_382,S
0.32,p_387,E
0.44,p_387,H
0.28,p_387,S
