,less_E,more_E
p_325,0.9444444444444444,
p_330,0.9444444444444444,
p_335,1.0,
p_336,0.8333333333333334,
p_339,0.6111111111111112,
p_341,1.0,
p_342,0.8333333333333334,
p_350,0.8333333333333334,
p_358,0.6666666666666666,
p_359,0.9444444444444444,
p_363,0.8333333333333334,
p_370,0.5,
p_371,1.0,
p_372,0.9444444444444444,
p_387,0.4444444444444444,
