0,110
0,111
0,112
1,113
1,114
1,115
2,116
2,117
2,118
3,119
3,120
3,121
4,122
4,123
4,124
5,125
5,126
5,127
6,128
6,129
6,130
7,131
7,132
7,133
8,134
8,135
8,136
9,137
9,138
9,139
10,140
10,141
10,142
11,143
11,144
11,145
12,146
12,147
12,148
13,149
13,150
13,151
14,152
14,153
14,154
15,155
15,156
15,157
16,158
16,159
16,160
17,161
17,162
17,163
18,164
18,165
18,166
19,167
19,168
19,169
20,170
20,171
21,172
21,173
22,174
22,175
23,176
23,177
24,178
24,179
25,180
25,181
26,182
26,183
27,184
27,185
28,186
28,187
29,188
29,189
30,190
30,191
31,192
31,193
32,194
32,195
33,196
33,197
34,198
34,199
35,200
35,201
36,202
36,203
37,204
37,205
38,206
38,207
39,208
39,209
40,210
40,211
41,212
41,213
42,214
42,215
43,216
43,217
44,218
44,219
45,220
45,221
46,222
46,223
47,224
47,225
48,226
48,227
49,228
49,229
50,110
50,170
51,111
51,172
52,112
52,174
53,113
53,171
54,114
54,176
55,115
55,178
56,116
56,177
57,117
57,180
58,118
58,182
59,119
59,181
60,120
60,184
61,121
61,186
62,122
62,185
63,123
63,188
64,124
64,190
65,125
65,189
66,126
66,192
67,127
67,194
68,128
68,183
69,129
69,193
70,130
70,196
71,131
71,197
72,132
72,198
73,133
73,200
74,134
74,179
75,135
75,199
76,136
76,202
77,137
77,203
78,138
78,204
79,139
79,206
80,140
80,175
81,141
81,205
82,142
82,208
83,143
83,209
84,144
84,210
85,145
85,212
86,146
86,211
87,147
87,214
88,148
88,216
89,149
89,207
90,150
90,215
91,151
91,218
92,152
92,201
93,153
93,219
94,154
94,220
95,155
95,195
96,156
96,221
97,157
97,222
98,158
98,217
99,159
99,223
100,160
100,224
101,161
101,191
102,162
102,225
103,163
103,226
104,164
104,213
105,165
105,227
106,166
106,228
107,167
107,173
108,168
108,187
109,169
109,229
