,value,group
399,13275,E
400,22004,E
401,41718,E
402,32378,E
403,15524,E
404,182655,E
405,24530,E
406,10002,E
407,11089,E
408,26185,E
409,8520,E
410,5941,E
411,10436,E
412,8197,E
413,8759,E
414,6764,E
415,28645,E
416,28168,E
417,5323,E
418,6130,E
419,6751,E
420,5011,E
421,15338,E
422,17845,E
423,48536,E
424,34658,E
425,6934,E
426,10067,E
427,59628,E
428,10359,E
429,16123,E
430,11284,E
431,7630,E
432,6491,E
433,9256,E
434,11458,E
435,6010,E
436,12076,E
437,7324,E
438,14399,E
439,28603,E
440,7852,E
441,28867,E
442,10297,E
443,5541,E
444,15874,E
445,26126,E
446,9117,E
447,24159,E
448,7105,E
449,10881,E
450,26894,E
451,17583,E
452,60777,E
453,133457,E
454,18894,E
455,32398,E
456,26208,E
457,13034,E
458,19877,E
459,21251,E
460,8818,E
461,17898,E
462,15088,E
463,27233,E
464,20053,E
465,11192,E
466,13412,E
467,12754,E
468,9847,E
469,15418,E
470,14210,E
471,13312,E
472,40389,E
473,61596,E
474,99431,E
475,13991,E
476,8168,E
477,14784,E
478,10866,E
479,19553,E
480,69587,E
481,39961,E
482,26188,E
483,23608,E
484,15878,E
485,37709,E
486,13469,E
487,55651,E
488,37601,E
489,20946,E
490,50817,E
491,14413,E
492,44077,E
493,10580,E
494,34904,E
495,10152,E
496,10180,E
497,6585,E
498,10619,E
499,8173,E
500,11224,E
501,19070,E
502,29368,E
503,42558,E
504,11832,E
505,18185,E
506,9042,E
507,15618,E
508,14691,E
509,165755,E
510,12560,E
511,8907,E
512,137098,E
513,9886,E
514,9096,E
515,3706,E
516,11832,E
517,28251,E
518,8870,E
519,17728,E
520,11725,E
521,224583,E
522,32653,H
523,29417,H
524,34594,H
525,19775,H
526,31520,H
527,68156,H
528,51684,H
529,15459,H
530,14278,H
531,46329,H
532,29165,H
533,54642,H
534,112123,H
535,20770,H
536,56729,H
537,16232,H
538,82506,H
539,17916,H
540,39353,H
541,49272,H
542,38410,H
543,28762,H
544,27489,H
545,29764,H
546,33767,H
547,24115,H
548,42723,H
549,23874,H
550,44533,H
551,36148,H
552,10145,H
553,15306,H
554,19369,H
555,18040,H
556,73433,H
557,29306,H
558,17397,H
559,20810,H
560,44221,H
561,16348,H
562,128753,H
563,48671,H
564,46104,H
565,23750,H
566,24515,H
567,159624,H
568,9290,H
569,34260,H
570,37306,H
571,26748,H
572,15519,H
573,10859,H
574,8794,H
575,59968,H
576,53402,H
577,36818,H
578,42719,H
579,82842,H
580,25118,H
581,20243,H
582,94731,H
583,33481,H
584,25592,H
585,30622,H
586,27446,H
587,7928,H
588,28299,H
589,89403,H
590,39935,H
591,34409,H
592,85336,H
593,13980,H
594,69209,H
595,13695,H
596,85611,H
597,72649,H
598,50634,H
599,36735,H
600,41740,H
601,30764,H
602,27778,H
603,14889,H
604,29867,H
605,24689,H
606,9370,H
607,26144,H
608,44319,H
609,14038,H
610,11873,H
611,29509,H
612,13449,H
613,25129,H
614,34015,H
615,15525,H
616,24099,H
617,22051,H
618,31679,H
619,31907,H
