author/0/name,author/1/name,author/2/name,author/3/name,author/4/name,author/5/name,citekey,collection,id,journal/name,journal/volume,journal/number,journal/pages,sections/0,sections/1,sections/2,sections/3,summarized,summarizer,title,type,use_image,year,sections/4,booktitle,editor/0/name/name,editor/0/name/ID,editor/1/name/name,editor/1/name/ID,pages,publisher/name,series,volume,organization,address,publisher/address,editor/2/name/name,editor/2/name/ID,howpublished,note,school,number,author/6/name,author/7/name,journal/month,author/0/@pid,author/0/text,author/1/@pid,author/1/text,author/2/@pid,author/2/text,doi,new_paper,url,author/3/@pid,author/3/text,author/4/@pid,author/4/text,author/5/@pid,author/5/text,author/6/@pid,author/6/text
"De Leeuw, Jan","Mair, Patrick",,,,,de2009multidimensional,bibtex,de2009multidimensional,Journal of statistical software,31,,1--30,euclidean,,,,FALSE,unassigned,Multidimensional scaling using majorization: SMACOF in R,article,FALSE,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Börner, Katy",,,,,,placesandspaces,bibtex,placesandspaces,,,,,spherical,application,,,FALSE,unassigned,,misc,FALSE,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Günther, Ingo",,,,,,worldprocessor,bibtex,worldprocessor,,,,,spherical,application,,,FALSE,unassigned,,misc,FALSE,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Munzner, Tamara",,,,,,munzner2000interactive,bibtex,munzner2000interactive,,,,,hyperbolic,Technique,application,,FALSE,unassigned,Interactive visualization of large graphs and networks,phdthesis,FALSE,2000,,,,,,,,,,,,,,,,,,Stanford University,,,,,,,,,,,,,,,,,,,,,
"Gansner, Emden R","Koren, Yehuda","North, Stephen",,,,gansner2004graph,bibtex,gansner2004graph,,,,,euclidean,,,,FALSE,unassigned,Graph drawing by stress majorization,inproceedings,FALSE,2004,,International Symposium on Graph Drawing,,,,,239--250,,,,Springer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eppstein, David",,,,,,eppstein2021limitations,bibtex,eppstein2021limitations,,,,,theory,hyperbolic,,,FALSE,unassigned,Limitations on Realistic Hyperbolic Graph Drawing,inproceedings,FALSE,2021,,"Graph Drawing and Network Visualization - 29th International Symposium,
GD 2021, Tübingen, Germany, September 14-17, 2021, Revised
Selected Papers","Purchase, Helen C.",PurchaseHelenC,"Rutter, Ignaz",RutterIgnaz,343--357,Springer,Lecture Notes in Computer Science,12868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lamping, John","Rao, Ramana",,,,,lamping1996the,bibtex,lamping1996the,J. Vis. Lang. Comput.,7,1,33--55,hyperbolic,application,Technique,,FALSE,unassigned,The Hyperbolic Browser: A Focus + Context Technique for Visualizing Large Hierarchies,article,FALSE,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Knuth, Donald Ervin",,,,,,knuth1993stanford,bibtex,knuth1993stanford,,,,,graph,,,,FALSE,unassigned,The Stanford GraphBase: a platform for combinatorial computing,book,FALSE,1993,,,,,,,,AcM Press New York,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Belmonte, Nicolas Garcia",,,,,,jit,bibtex,jit,,,,,hyperbolic,application,,,FALSE,unassigned,Javascript InfoVis Toolkit,misc,FALSE,,,,,,,,,,,,,,,,,r̆lhttps://philogb.github.io/jit/demos.html,accessed: 2021-06-06,,,,,,,,,,,,,,,,,,,,,,
"Bou, Bernard",,,,,,treebolic,bibtex,treebolic,,,,,hyperbolic,application,,,FALSE,unassigned,Treebolic2 Webpage,misc,FALSE,,,,,,,,,,,,,,,,,r̆lhttp://treebolic.sourceforge.net/treebolic2/en/index.html,accessed: 2021-06-06,,,,,,,,,,,,,,,,,,,,,,
"Glatzhofer, Michael",,,,,,hyperbolicTOL,bibtex,hyperbolicTOL,,,,,hyperbolic,application,,,FALSE,unassigned,Hyperbolic tree of life,misc,FALSE,,,,,,,,,,,,,,,,,r̆lhttps://hyperbolic-tree-of-life.github.io/,,,,,,,,,,,,,,,,,,,,,,,
"Glatzhofer, Michael",,,,,,Michael2018survey,bibtex,Michael2018survey,,,,,hyperbolic,application,,,FALSE,unassigned,Hyperbolic Browsing,mastersthesis,FALSE,2018,,,,,,,,,,,,,,,,,,"Institute of Interactive Systems and Data Science (ISDS),Graz University of Technology, Austria",,,,,,,,,,,,,,,,,,,,,
"Glatzofer, Michael",,,,,,d3-hypertree,bibtex,d3-hypertree,,,,,hyperbolic,application,,,FALSE,unassigned,d3-hypertree Github page,misc,FALSE,,,,,,,,,,,,,,,,,r̆lhttps://github.com/glouwa/d3-hypertree,accessed: 2021-06-06,,,,,,,,,,,,,,,,,,,,,,
"Hyun, Young",,,,,,walrus2000,bibtex,walrus2000,,,,,hyperbolic,application,,,FALSE,unassigned,,misc,FALSE,2000,,,,,,,,,,,,,,,,r̆lhttps://www.caida.org/catalog/software/walrus/#H2540,Accessed: 2021-06-06,,,,,,,,,,,,,,,,,,,,,,
"Zhang, Songxiao","Kelleher, Adam",,,,,h3py,bibtex,h3py,,,,,hyperbolic,application,,,FALSE,unassigned,H3py Github Page,misc,FALSE,2016,,,,,,,,,,,,,,,,r̆lhttps://github.com/buzzfeed/pyh3,Accessed: 2021-06-06,,,,,,,,,,,,,,,,,,,,,,
"Gibson, Helen","Faith, Joe","Vickers, Paul",,,,gibson2013survey,bibtex,gibson2013survey,Information visualization,12,4-Mar,324--357,survey,GL,,,FALSE,unassigned,A survey of two-dimensional graph layout techniques for information visualisation,article,FALSE,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miller, Jacob","Huroyan, Vahan","Kobourov, Stephen",,,,miller2023spherical,bibtex,miller2023spherical,,,,,spherical,technique,,,FALSE,unassigned,Spherical Graph Drawing by Multi-dimensional Scaling,inproceedings,FALSE,2023,,"Graph Drawing and Network Visualization: 30th International Symposium, GD 2022, Tokyo, Japan, September 13--16, 2022, Revised Selected Papers",,,,,77--92,,,,Springer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Du, Fan","Cao, Nan","Lin, Yu-Ru","Xu, Panpan","Tong, Hanghang",,du2017isphere,bibtex,du2017isphere,,,,,spherical,hyperbolic,user study,,FALSE,unassigned,isphere: Focus+ context sphere visualization for interactive large graph exploration,inproceedings,FALSE,2017,,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,,,,,2916--2927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chen, Kun-Ting","Dwyer, Tim","Bach, Benjamin","Marriott, Kim",,,chen2021sa,bibtex,chen2021sa,,,,,torus,technique,,,FALSE,unassigned,It’s a wrap: Toroidal wrapping of network visualisations supports cluster understanding tasks,inproceedings,FALSE,2021,,Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems,,,,,1--12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beck, Fabian","Burch, Michael","Diehl, Stephan","Weiskopf, Daniel",,,DBLP:journals/cgf/BeckBDW17,bibtex,DBLP:journals/cgf/BeckBDW17,Comput. Graph. Forum,36,1,133--159,survey,,,,FALSE,unassigned,A Taxonomy and Survey of Dynamic Graph Visualization,article,FALSE,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wang, Chaoli","Tao, Jun",,,,,DBLP:journals/cgf/WangT17,bibtex,DBLP:journals/cgf/WangT17,Comput. Graph. Forum,36,1,263--287,survey,,,,FALSE,unassigned,Graphs in Scientific Visualization: A Survey,article,FALSE,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kale, Bharat","Sun, Maoyuan","Papka, Michael E",,,,kale2023state,bibtex,kale2023state,,,,,survey,,,,FALSE,unassigned,The State of the Art in Visualizing Dynamic Multivariate Networks,inproceedings,FALSE,2023,,Computer Graphics Forum,,,,,471--490,,,42,Wiley Online Library,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
