author/0/name,author/1/name,author/2/name,author/3/name,author/4/name,author/5/name,citekey,collection,id,journal/name,journal/volume,journal/number,journal/pages,sections/0,sections/1,sections/2,sections/3,summarized,summarizer,title,type,use_image,year,sections/4,booktitle,editor/0/name/name,editor/0/name/ID,editor/1/name/name,editor/1/name/ID,pages,publisher/name,series,volume,organization,address,publisher/address,editor/2/name/name,editor/2/name/ID,howpublished,note,school,number,author/6/name,author/7/name,journal/month,author/0/@pid,author/0/text,author/1/@pid,author/1/text,author/2/@pid,author/2/text,doi,new_paper,url,author/3/@pid,author/3/text,author/4/@pid,author/4/text,author/5/@pid,author/5/text,author/6/@pid,author/6/text
,,,,,,,,,,,,,hyperbolic,visualization,,,FALSE,unassigned,A Modified Double Gyre with Ground Truth Hyperbolic Trajectories for Flow Visualization.,,FALSE,2021,,,,,,,,,,,,,,,,,,,,,,,275/7349,Steve Wolligandt,85/4516,Thomas Wilde,55/499,Christian Rössl,10.1111/CGF.14183,TRUE,https://dblp.org/rec/journals/cgf/WolligandtWRT21,t/HolgerTheisel,Holger Theisel,,,,,,
,,,,,,,,,,,,,theory,spherical,,,FALSE,unassigned,Equilateral Spherical Drawings of Planar Cayley Graphs.,,FALSE,2021,,,,,,,,,,,,,,,,,,,,,,,284/6753,Ming-Hsuan Kang,94/8435,Wu-Hsiung Lin,,,10.7155/JGAA.00551,TRUE,https://dblp.org/rec/journals/jgaa/KangL21,,,,,,,,
,,,,,,,,,,,,,theory,spherical,planar,proof,TRUE,Dhruv,Drawing Graphs on Few Circles and Few Spheres.,,FALSE,2017,,,,,,,,,,,,,,,,,,,,,,,205/2872,Myroslav Kryven,94/2770,Alexander Ravsky,w/AlexanderWolff,Alexander Wolff 0001,10.7155/JGAA.00495,TRUE,https://dblp.org/rec/journals/jgaa/KryvenRW19,,,,,,,,
,,,,,,,,,,,,,matrix-based visualization,application,user study,small,TRUE,Dhruv,Spherule diagrams with graph for social network visualization.,,FALSE,2016,,,,,,,,,,,,,,,,,,,,,,,126/0936,Mithileysh Sathiyanarayanan,65/10492,Donato Pirozzi,,,10.1109/COMSNETS.2016.7439961,TRUE,https://dblp.org/rec/conf/comsnets/Sathiyanarayanan16a,,,,,,,,
,,,,,,,,,,,,,theory,torus,proof,,TRUE,Dhruv,Drawing a disconnected graph on the torus (Extended abstract).,,FALSE,2015,,,,,,,,,,,,,,,,,,,,,,,74/2172,Sergio Cabello,Aug-82,Bojan Mohar,32/4283,Robert Sámal,10.1016/J.ENDM.2015.06.105,TRUE,https://dblp.org/rec/journals/endm/CabelloMS15,,,,,,,,
,,,,,,,,,,,,,spherical,technique,IVR,,TRUE,Dhruv,Spherical layout and rendering methods for immersive graph visualization.,,FALSE,2015,,,,,,,,,,,,,,,,,,,,,,,87/575,Oh-Hyun Kwon,62/5695,Chris Muelder,63/728,Kyungwon Lee,10.1109/PACIFICVIS.2015.7156357,TRUE,https://dblp.org/rec/conf/apvis/KwonMLM15,93/5838,Kwan-Liu Ma,,,,,,
,,,,,,,,,,,,,hyperbolic,application,proof,,TRUE,Dhruv,The visualization of hyperbolic patterns from invariant mapping method.,,TRUE,2012,,,,,,,,,,,,,,,,,,,,,,,30/11042,Peichang Ouyang,14/11042,Dongsheng Cheng,39/4117,Yanhua Cao,10.1016/J.CAG.2011.12.005,TRUE,https://dblp.org/rec/journals/cg/OuyangCCZ12,66/11041,Xiaogen Zhan,,,,,,
,,,,,,,,,,,,,spherical,application,large,undirected,TRUE,Dhruv,Graph embedding on spheres and its application to visualization of information diffusion data.,,FALSE,2012,,,,,,,,,,,,,,,,,,,,,,,26/2033,Kazumi Saito,28/3674,Masahiro Kimura,43/4213,Kouzou Ohara,10.1145/2187980.2188253,TRUE,https://dblp.org/rec/conf/www/SaitoKOM12,Aug-25,Hiroshi Motoda,,,,,,
,,,,,,,,,,,,,hyperbolic,theory,proof,,TRUE,Dhruv,Succinct Greedy Graph Drawing in the Hyperbolic Plane,,TRUE,2008,,,,,,,,,,,,,,,,,,,,,,,e/DEppstein,David Eppstein,g/MichaelTGoodrich,Michael T. Goodrich,,,,TRUE,https://dblp.org/rec/journals/corr/abs-0806-0341,,,,,,,,
,,,,,,,,,,,,,spherical,visualization,,,TRUE,Dhruv,Visualizing a Sphere Eversion.,,FALSE,2004,,,,,,,,,,,,,,,,,,,,,,,28/6557,George K. Francis,54/2253,John M. Sullivan,,,10.1109/TVCG.2004.33,TRUE,https://dblp.org/rec/journals/tvcg/FrancisS04,,,,,,,,
,,,,,,,,,,,,,spherical,application,,,TRUE,Dhruv,Visualization of randomly ordered numeric data sets using spherical self-organizing feature maps.,,TRUE,2003,,,,,,,,,,,,,,,,,,,,,,,41/6390,Archana P. Sangole,93/2506,George K. Knopf,,,10.1016/J.CAG.2003.08.012,TRUE,https://dblp.org/rec/journals/cg/SangoleK03,,,,,,,,
,,,,,,,,,,,,,spherical,planar,,,TRUE,Dhruv,A Graph Drawing Algorithm for Spherical Pictures.,,FALSE,2003,,,,,,,,,,,,,,,,,,,,,,,50/1266,Andrea Donafee,May-63,Carsten Maple,,,10.1109/IV.2003.1217979,TRUE,https://dblp.org/rec/conf/iv/DonafeeM03,,,,,,,,
